    fib,      array B,   array MB,  largest B,   largest kB
    100,         4380,  0.00 MB,           48,  0.05 kB
    200,         9625,  0.01 MB,           57,  0.06 kB
    300,        15737,  0.02 MB,           65,  0.07 kB
    400,        22720,  0.02 MB,           74,  0.07 kB
    500,        30568,  0.03 MB,           83,  0.08 kB
    600,        39284,  0.04 MB,           91,  0.09 kB
    700,        48869,  0.05 MB,          100,  0.10 kB
    800,        59321,  0.06 MB,          109,  0.11 kB
    900,        70640,  0.07 MB,          117,  0.12 kB
   1000,        82828,  0.08 MB,          126,  0.13 kB
   1100,        95885,  0.10 MB,          135,  0.14 kB
   1200,       109807,  0.11 MB,          144,  0.14 kB
   1300,       124599,  0.12 MB,          152,  0.15 kB
   1400,       140259,  0.14 MB,          161,  0.16 kB
   1500,       156784,  0.16 MB,          170,  0.17 kB
   1600,       174180,  0.17 MB,          178,  0.18 kB
   1700,       192442,  0.19 MB,          187,  0.19 kB
   1800,       211572,  0.21 MB,          196,  0.20 kB
   1900,       231570,  0.23 MB,          204,  0.20 kB
   2000,       252436,  0.25 MB,          213,  0.21 kB
   2100,       274170,  0.27 MB,          222,  0.22 kB
   2200,       296770,  0.30 MB,          230,  0.23 kB
   2300,       320240,  0.32 MB,          239,  0.24 kB
   2400,       344577,  0.34 MB,          248,  0.25 kB
   2500,       369781,  0.37 MB,          256,  0.26 kB
   2600,       395856,  0.40 MB,          265,  0.27 kB
   2700,       422795,  0.42 MB,          274,  0.27 kB
   2800,       450603,  0.45 MB,          282,  0.28 kB
   2900,       479280,  0.48 MB,          291,  0.29 kB
   3000,       508823,  0.51 MB,          300,  0.30 kB
   3100,       539235,  0.54 MB,          308,  0.31 kB
   3200,       570514,  0.57 MB,          317,  0.32 kB
   3300,       602662,  0.60 MB,          326,  0.33 kB
   3400,       635675,  0.64 MB,          334,  0.33 kB
   3500,       669559,  0.67 MB,          343,  0.34 kB
   3600,       704311,  0.70 MB,          352,  0.35 kB
   3700,       739927,  0.74 MB,          360,  0.36 kB
   3800,       776415,  0.78 MB,          369,  0.37 kB
   3900,       813769,  0.81 MB,          378,  0.38 kB
   4000,       851990,  0.85 MB,          387,  0.39 kB
   4100,       891081,  0.89 MB,          395,  0.40 kB
   4200,       931038,  0.93 MB,          404,  0.40 kB
   4300,       971863,  0.97 MB,          413,  0.41 kB
   4400,      1013556,  1.01 MB,          421,  0.42 kB
   4500,      1056117,  1.06 MB,          430,  0.43 kB
   4600,      1099545,  1.10 MB,          439,  0.44 kB
   4700,      1143841,  1.14 MB,          447,  0.45 kB
   4800,      1189007,  1.19 MB,          456,  0.46 kB
   4900,      1235038,  1.24 MB,          465,  0.47 kB
   5000,      1281938,  1.28 MB,          473,  0.47 kB
   5100,      1329707,  1.33 MB,          482,  0.48 kB
   5200,      1378341,  1.38 MB,          491,  0.49 kB
   5300,      1427845,  1.43 MB,          499,  0.50 kB
   5400,      1478216,  1.48 MB,          508,  0.51 kB
   5500,      1529455,  1.53 MB,          517,  0.52 kB
   5600,      1581561,  1.58 MB,          525,  0.53 kB
   5700,      1634536,  1.63 MB,          534,  0.53 kB
   5800,      1688379,  1.69 MB,          543,  0.54 kB
   5900,      1743087,  1.74 MB,          551,  0.55 kB
   6000,      1798666,  1.80 MB,          560,  0.56 kB
   6100,      1855112,  1.86 MB,          569,  0.57 kB
   6200,      1912424,  1.91 MB,          577,  0.58 kB
   6300,      1970608,  1.97 MB,          586,  0.59 kB
   6400,      2029656,  2.03 MB,          595,  0.60 kB
   6500,      2089572,  2.09 MB,          603,  0.60 kB
   6600,      2150358,  2.15 MB,          612,  0.61 kB
   6700,      2212010,  2.21 MB,          621,  0.62 kB
   6800,      2274530,  2.27 MB,          629,  0.63 kB
   6900,      2337918,  2.34 MB,          638,  0.64 kB
   7000,      2402175,  2.40 MB,          647,  0.65 kB
   7100,      2467297,  2.47 MB,          656,  0.66 kB
   7200,      2533289,  2.53 MB,          664,  0.66 kB
   7300,      2600150,  2.60 MB,          673,  0.67 kB
   7400,      2667875,  2.67 MB,          682,  0.68 kB
   7500,      2736471,  2.74 MB,          690,  0.69 kB
   7600,      2805934,  2.81 MB,          699,  0.70 kB
   7700,      2876264,  2.88 MB,          708,  0.71 kB
   7800,      2947463,  2.95 MB,          716,  0.72 kB
   7900,      3019529,  3.02 MB,          725,  0.73 kB
   8000,      3092463,  3.09 MB,          734,  0.73 kB
   8100,      3166264,  3.17 MB,          742,  0.74 kB
   8200,      3240934,  3.24 MB,          751,  0.75 kB
   8300,      3316471,  3.32 MB,          760,  0.76 kB
   8400,      3392875,  3.39 MB,          768,  0.77 kB
   8500,      3470150,  3.47 MB,          777,  0.78 kB
   8600,      3548290,  3.55 MB,          786,  0.79 kB
   8700,      3627298,  3.63 MB,          794,  0.79 kB
   8800,      3707176,  3.71 MB,          803,  0.80 kB
   8900,      3787919,  3.79 MB,          812,  0.81 kB
   9000,      3869531,  3.87 MB,          820,  0.82 kB
   9100,      3952011,  3.95 MB,          829,  0.83 kB
   9200,      4035359,  4.04 MB,          838,  0.84 kB
   9300,      4119573,  4.12 MB,          846,  0.85 kB
   9400,      4204657,  4.20 MB,          855,  0.86 kB
   9500,      4290609,  4.29 MB,          864,  0.86 kB
   9600,      4377425,  4.38 MB,          872,  0.87 kB
   9700,      4465113,  4.47 MB,          881,  0.88 kB
   9800,      4553668,  4.55 MB,          890,  0.89 kB
   9900,      4643089,  4.64 MB,          899,  0.90 kB
  10000,      4733381,  4.73 MB,          907,  0.91 kB

  20000,     18144779,  18.14 MB,         1775,  1.78 kB
  30000,     40234205,  40.23 MB,         2643,  2.64 kB
  40000,     71001653,  71.00 MB,         3511,  3.51 kB
  50000,    110447123,  110.45 MB,         4378,  4.38 kB
  60000,    158570622,  158.57 MB,         5246,  5.25 kB
  70000,    215372143,  215.37 MB,         6114,  6.11 kB
  80000,    280851685,  280.85 MB,         6982,  6.98 kB
  90000,    355009255,  355.01 MB,         7850,  7.85 kB
 100000,    437844847,  437.84 MB,         8717,  8.72 kB
 110000,    529358461,  529.36 MB,         9585,  9.59 kB
 120000,    629550105,  629.55 MB,        10453,  10.45 kB
 130000,    738419767,  738.42 MB,        11321,  11.32 kB
 140000,    855967454,  855.97 MB,        12189,  12.19 kB
 150000,    982193166,  982.19 MB,        13056,  13.06 kB
 160000,   1117096902,  1117.10 MB,        13924,  13.92 kB
 170000,   1260678661,  1260.68 MB,        14792,  14.79 kB
 180000,   1412938446,  1412.94 MB,        15660,  15.66 kB
